TF-Motif	ES	NES	p-value
HO_TAL1_HUMAN.H10MO.A.bed	-0.0526818536868	-195.569679536	0.0438476597101
HO_BPTF_HUMAN.H10MO.D.bed	-0.0227144943532	-32.8048981467	0.0450532008025
HO_GLI1_HUMAN.H10MO.C.bed	-0.0719088909646	33.4660584243	0.0456380752982
HO_HXD12_HUMAN.H10MO.D.bed	-0.0241917024907	141.754825376	0.0459695922524
HO_NFIL3_HUMAN.H10MO.C.bed	-0.0660146110126	53.9052673927	0.0465861677907
HO_JUNB_HUMAN.H10MO.C.bed	0.034696382664	75.3420091394	0.0466799769321
HO_ETV2_HUMAN.H10MO.D.bed	-0.0226917875562	33.8069954657	0.0466994884315
HO_HESX1_HUMAN.H10MO.D.bed	0.0782884444883	239.329125607	0.0475158393544
HO_TBX2_HUMAN.H10MO.D.bed	0.0276494219953	-67.2092828388	0.0476830925328
HO_KAISO_HUMAN.H10MO.A.bed	0.0928341394225	-428.276696332	0.0479069638879
HO_ATF2_HUMAN.H10MO.B.bed	0.0788263034032	-743.892467317	0.0480572026645
HO_ELF2_HUMAN.H10MO.C.bed	0.035832760218	31.9012282172	0.0484049962975
HO_BHE22_HUMAN.H10MO.D.bed	-0.0552649960575	29.6335530619	0.0487265330415
HO_RUNX1_HUMAN.H10MO.A.bed	-0.0355422871403	1164.97680319	0.051165544506
HO_FOXC2_HUMAN.H10MO.D.bed	-0.0357319680137	-100.119539034	0.0517047040927
HO_TBX21_HUMAN.H10MO.D.bed	0.0666194979335	-71.9431988841	0.0524300103705
HO_CREB1_HUMAN.H10MO.A.bed	0.0803928691216	-89.8396213731	0.0536047186902
HO_HBP1_HUMAN.H10MO.D.bed	-0.0443590776825	42.3462667081	0.0552510303047
HO_STAT6_HUMAN.H10MO.C.bed	-0.0433908680733	-201.917417506	0.0552842533587
HO_DLX2_HUMAN.H10MO.D.bed	-0.0237117771402	-220.201632556	0.0565132892838
HO_PEBB_HUMAN.H10MO.C.bed	-0.0382018786241	27.3604399901	0.0568348758423
HO_RFX5_HUMAN.H10MO.A.bed	0.0415614048356	-35.2285437879	0.0573119028836
HO_FOXO1_HUMAN.H10MO.C.bed	-0.0191487838443	-167.535295526	0.0584197380571
HO_MBD2_HUMAN.H10MO.B.bed	0.0474896843909	177.582661854	0.0584589514056
HO_GABPA_HUMAN.H10MO.A.bed	0.0506101624311	-42.1986572733	0.0587798779563
HO_HXB1_HUMAN.H10MO.D.bed	0.0578827704247	-47.9330123218	0.0588878531184
HO_SP1_HUMAN.H10MO.S.bed	0.0237149040688	27.0257943132	0.0589836953193
HO_RARA_HUMAN.H10MO.C.bed	0.068058058361	109.426630972	0.0594254363909
HO_GSC2_HUMAN.H10MO.D.bed	-0.0712027397843	-29.1328411736	0.05977552239
HO_GATA5_HUMAN.H10MO.D.bed	-0.0385161291248	82.4325559181	0.0598437519909
HO_THB_HUMAN.H10MO.C.bed	0.0247235921214	233.265752804	0.0604750887641
HO_ZN350_HUMAN.H10MO.C.bed	0.0682002308696	-65.5996696029	0.0605415318532
HO_ETV7_HUMAN.H10MO.D.bed	0.0553040167247	125.002080468	0.0607096659546
HO_TFDP1_HUMAN.H10MO.S.bed	0.0921192977903	-32.6160432428	0.0611131961262
HO_SMRC1_HUMAN.H10MO.D.bed	0.0313437856114	126.500849289	0.0612145812411
HO_CXXC1_HUMAN.H10MO.D.bed	0.0283121290423	-61.0207265726	0.0617261386886
HO_ZBT7A_HUMAN.H10MO.D.bed	-0.0406660413901	801.982988978	0.0619603051899
HO_ETS2_HUMAN.H10MO.C.bed	0.0374586454533	-290.617123177	0.0627791242536
HO_RFX2_HUMAN.H10MO.C.bed	0.061984535404	-44.1231256473	0.0628450446594
HO_SRF_HUMAN.H10MO.A.bed	0.0270616273894	74.0964159502	0.0650124343221
HO_SRY_HUMAN.H10MO.B.bed	0.0190769768023	-51.3135514697	0.0653084058177
HO_HMGA1_HUMAN.H10MO.D.bed	0.0204673168666	-18.9338042014	0.0658478258536
HO_INSM1_HUMAN.H10MO.C.bed	0.0692702141354	-73.4185547317	0.0659041126505
HO_GCR_HUMAN.H10MO.S.bed	-0.0178775246946	-27.0446368736	0.0661776931494
HO_SOX7_HUMAN.H10MO.D.bed	0.0951240433038	-88.695731216	0.0672937690276
HO_ZBTB4_HUMAN.H10MO.D.bed	0.072959551197	-110.358036258	0.0685000192912
HO_SP1_HUMAN.H10MO.C.bed	0.0204316663791	63.1606000526	0.0688538273389
HO_PPARG_HUMAN.H10MO.A.bed	-0.0417547319754	292.601081721	0.0692092229914
HO_ATF6A_HUMAN.H10MO.B.bed	0.0925121130369	-36.2522665427	0.0694631153211
HO_GATA3_HUMAN.H10MO.C.bed	-0.0282062699157	235.474399321	0.0695965939259
HO_OLIG1_HUMAN.H10MO.D.bed	-0.064609619407	244.797523625	0.0703803516676
HO_GLI3_HUMAN.H10MO.B.bed	-0.0489098378859	-81.8258359392	0.0715291235273
HO_E2F1_HUMAN.H10MO.A.bed	0.061714401578	-94.2846113993	0.0734653668463
HO_PITX3_HUMAN.H10MO.D.bed	-0.0497185894993	-138.676274923	0.0735229030872
HO_NFIA_HUMAN.H10MO.C.bed	-0.0568794296653	-1529.52681377	0.0735614438245
HO_TGIF1_HUMAN.H10MO.D.bed	-0.0462659044728	77.4497209808	0.0736382533046
HO_BSH_HUMAN.H10MO.D.bed	-0.0353577163033	-30.8127819047	0.0743758175685
HO_IRF5_HUMAN.H10MO.D.bed	-0.020788193559	-21.1294804833	0.0748459900673
HO_IRF1_HUMAN.H10MO.A.bed	-0.0316276439661	-672.658414771	0.0750828773791
HO_ATF1_HUMAN.H10MO.B.bed	0.0624512460135	-59.0582640062	0.075545613163
HO_KLF4_HUMAN.H10MO.A.bed	0.0216543924506	33.2523680915	0.0760251895555
HO_ZN148_HUMAN.H10MO.D.bed	0.0193422085698	-38.0855086271	0.0765333763657
HO_GLIS1_HUMAN.H10MO.D.bed	-0.113128992301	96.0543064411	0.0770044762113
HO_FOXF2_HUMAN.H10MO.D.bed	-0.0336841435717	105.087783241	0.0773850142055
HO_HXD4_HUMAN.H10MO.D.bed	-0.0216975282619	436.05392472	0.0774821127006
HO_PRGR_HUMAN.H10MO.S.bed	-0.0178775246946	63.9520243054	0.0775267601712
HO_JUN_HUMAN.H10MO.A.bed	-0.0333898712397	-62.0930432401	0.0781884895078
HO_NKX25_HUMAN.H10MO.C.bed	0.0169422047644	-30.6365952077	0.0783446137876
HO_PRRX1_HUMAN.H10MO.D.bed	-0.0179937651869	214.30444444	0.0786293608137
HO_LHX2_HUMAN.H10MO.D.bed	-0.0398426285896	126.076429485	0.0791135805258
HO_ETV4_HUMAN.H10MO.B.bed	0.0241033465871	-59.8441688794	0.0791475282319
HO_ONEC3_HUMAN.H10MO.D.bed	-0.0251723439098	-381.479049768	0.0791628988122
HO_NKX61_HUMAN.H10MO.D.bed	0.0275514293097	804.982981863	0.0795259544826
HO_VSX2_HUMAN.H10MO.D.bed	0.0452403025463	-42.1342447354	0.0798104379199
HO_PPARA_HUMAN.H10MO.C.bed	-0.0453852337073	-54.5925728245	0.0808773912537
HO_RORG_HUMAN.H10MO.C.bed	0.053379453596	487.243341891	0.0811273001274
HO_TLX1_HUMAN.H10MO.D.bed	0.0373667782111	-38.7063214937	0.0812869185831
HO_NFYA_HUMAN.H10MO.A.bed	0.0351647111058	170.487814515	0.0814548556537
HO_AP2D_HUMAN.H10MO.D.bed	0.0326914243468	-76.2628249656	0.0823652709546
HO_NFYB_HUMAN.H10MO.A.bed	0.0353643457651	121852.336552	0.0823829904123
HO_FOSB_HUMAN.H10MO.C.bed	0.0299837068874	-50.1857954546	0.0831766035245
HO_SPI1_HUMAN.H10MO.A.bed	-0.0332498591797	37.9024030338	0.0831934171059
HO_NR0B1_HUMAN.H10MO.D.bed	0.0344958247429	50.4109285644	0.0834352070931
HO_IRF4_HUMAN.H10MO.C.bed	0.0213630795322	-23.7520510073	0.0837215471268
HO_PO6F2_HUMAN.H10MO.D.bed	0.0371225487737	-67.8616577907	0.0844510786762
HO_ISL2_HUMAN.H10MO.D.bed	0.0334390463441	328.149528114	0.0850064085089
HO_PO4F1_HUMAN.H10MO.D.bed	-0.03626152072	-18.2319266378	0.0850360919846
HO_NFAC4_HUMAN.H10MO.C.bed	-0.0249610553974	-177.529614715	0.0852331587243
HO_NKX23_HUMAN.H10MO.D.bed	-0.0419351433595	72.8118875578	0.0857142389351
HO_ZN423_HUMAN.H10MO.D.bed	0.109433375177	55.7243546754	0.0870253266963
HO_TEF_HUMAN.H10MO.D.bed	-0.0376129137104	-118.447670844	0.0877064287957
HO_NR1H2_HUMAN.H10MO.D.bed	0.0855041320601	-66.883365885	0.0878772440434
HO_RUNX3_HUMAN.H10MO.C.bed	-0.0273270538178	-29.3431505543	0.0880713772885
HO_NFAC1_HUMAN.H10MO.S.bed	0.0492892012337	47.6644440573	0.090322806621
HO_SUH_HUMAN.H10MO.C.bed	-0.0301985562586	405.464890054	0.0905164832275
HO_KLF14_HUMAN.H10MO.D.bed	0.034338786736	-25.2259561821	0.091600703598
HO_FLI1_HUMAN.H10MO.A.bed	0.0353101426838	70.2093100853	0.0921815644028
HO_E4F1_HUMAN.H10MO.D.bed	0.100436933314	-128.6017213	0.0923709035678
HO_ATF3_HUMAN.H10MO.A.bed	0.0535943438538	-49.5037585363	0.0929583394824
HO_PAX6_HUMAN.H10MO.D.bed	-0.0909610439797	-22.8432998078	0.0929976952454
HO_SOX9_HUMAN.H10MO.B.bed	-0.0394997979453	316.633496719	0.0956482713504
HO_ESR1_HUMAN.H10MO.S.bed	0.0546012957605	-36.6457591405	0.0957537662906
HO_NR4A1_HUMAN.H10MO.C.bed	0.0307343996536	-36.5666617183	0.096332805365
HO_HXB3_HUMAN.H10MO.D.bed	0.026449848798	-29.3596571762	0.0966554278178
HO_HEY1_HUMAN.H10MO.D.bed	0.0490414943448	395.005507239	0.0975900396999
HO_SHOX_HUMAN.H10MO.D.bed	0.0237570365568	-21.9066098949	0.0986030470617
HO_ZN713_HUMAN.H10MO.D.bed	0.0193335643166	-122.548619336	0.0991434327076
HO_AHR_HUMAN.H10MO.B.bed	-0.0630584158791	-21.4229560177	0.0995002165617
HO_SCRT1_HUMAN.H10MO.D.bed	-0.065554406474	-542.721761644	0.0995197626923
HO_HEY2_HUMAN.H10MO.D.bed	0.0399294589569	87.7055938762	0.0996030957692
HO_SPDEF_HUMAN.H10MO.D.bed	-0.0416508326474	124764.191584	0.0998243387413
HO_FOXK1_HUMAN.H10MO.D.bed	0.0550245824626	81.5548023923	0.0998693623696
HO_NR1I3_HUMAN.H10MO.C.bed	0.0506995461011	232.993740149	0.100208530407
HO_ETV5_HUMAN.H10MO.D.bed	-0.0352884211244	-33.206208819	0.100225798178
HO_IRX2_HUMAN.H10MO.D.bed	0.039747840655	196.306569422	0.100373425784
HO_P73_HUMAN.H10MO.S.bed	0.0335060824799	-86.147644584	0.10112482496
HO_NFIA_HUMAN.H10MO.S.bed	0.0170257720353	139.626477682	0.101974173265
HO_HSFY1_HUMAN.H10MO.D.bed	0.126172991203	-58.7570628929	0.102253979946
HO_USF1_HUMAN.H10MO.A.bed	0.0582874727375	73.3449114222	0.103072731874
HO_TFEB_HUMAN.H10MO.C.bed	0.0497143638945	-45.0142807668	0.103496066258
HO_OLIG2_HUMAN.H10MO.D.bed	-0.0445119135305	-54.7117289815	0.103672620481
HO_NFAC2_HUMAN.H10MO.B.bed	-0.0209603673623	-1574.98575878	0.103699935533
HO_TEAD4_HUMAN.H10MO.A.bed	0.0261838957725	-27.6061558686	0.103793077047
HO_SHOX2_HUMAN.H10MO.D.bed	0.0245512769044	-24.9676526113	0.103858043235
HO_TEAD3_HUMAN.H10MO.D.bed	-0.0287662177286	-168.299916361	0.104847390304
HO_RXRG_HUMAN.H10MO.B.bed	0.0666474583667	270.767938113	0.105294664049
HO_MEOX2_HUMAN.H10MO.D.bed	-0.0248733517103	-71.2485415661	0.105418599671
HO_TYY2_HUMAN.H10MO.D.bed	0.0469604599666	-90.2756936727	0.106714388555
HO_ZIC1_HUMAN.H10MO.B.bed	0.0232962377167	-249.975766014	0.106997940717
HO_FOXD1_HUMAN.H10MO.D.bed	-0.0344950259784	-60.1591749511	0.107611779855
HO_PBX3_HUMAN.H10MO.B.bed	-0.0283821188477	-62.7413026915	0.108095945946
HO_FUBP1_HUMAN.H10MO.D.bed	-0.0167721152507	38.925847311	0.108363795361
HO_NFAC1_HUMAN.H10MO.A.bed	-0.0254655025408	94.370031234	0.108381836656
HO_HXA5_HUMAN.H10MO.D.bed	0.0356866462983	-41.9299687815	0.108402183294
HO_PIT1_HUMAN.H10MO.C.bed	-0.0270006270328	28.8855462455	0.10868710781
HO_NR5A2_HUMAN.H10MO.C.bed	-0.0238748645988	56.2293037348	0.108915148214
HO_PO3F3_HUMAN.H10MO.D.bed	-0.0166123026268	435.023620787	0.109178902563
HO_NR4A2_HUMAN.H10MO.C.bed	-0.0331216397687	-47.6147454824	0.109954627937
HO_MCR_HUMAN.H10MO.D.bed	-0.0336967843519	-31.3355933377	0.110476398813
HO_HXC8_HUMAN.H10MO.D.bed	-0.0425318832693	-86.2777721577	0.110637725886
HO_ZN652_HUMAN.H10MO.D.bed	-0.0477008680336	27.7656639608	0.111737734328
HO_PBX2_HUMAN.H10MO.C.bed	-0.0345679724972	-645.704414466	0.111896184845
HO_HNF4G_HUMAN.H10MO.C.bed	0.0396867797462	-25.0027696072	0.112001138096
HO_PDX1_HUMAN.H10MO.C.bed	0.0438219765763	-26.7014538213	0.112101209228
HO_PPARD_HUMAN.H10MO.D.bed	-0.0459308761524	-298.898181412	0.112428574567
HO_FOXB1_HUMAN.H10MO.D.bed	-0.038239473848	182.385735851	0.112768401915
HO_HXA7_HUMAN.H10MO.D.bed	0.0553266495545	-678.405393267	0.113805258488
HO_PO4F2_HUMAN.H10MO.D.bed	0.038043523139	-41.800735789	0.113843262194
HO_HIC2_HUMAN.H10MO.D.bed	0.0308595254442	-18.4997089036	0.113926421021
HO_PRDM4_HUMAN.H10MO.D.bed	0.08645273583	-16.2096911737	0.114133313904
HO_NANOG_HUMAN.H10MO.A.bed	-0.0303594978909	-46.3025838894	0.11439924713
HO_HXB7_HUMAN.H10MO.C.bed	0.0326227459311	-60.0195252876	0.114425351253
HO_PURA_HUMAN.H10MO.D.bed	0.0176325840076	-26.8697897449	0.115529240806
HO_EHF_HUMAN.H10MO.C.bed	0.0167766031345	-66.4235378042	0.115629563566
HO_HXA9_HUMAN.H10MO.D.bed	-0.0480298611066	-47.0767493262	0.116309577083
HO_CEBPE_HUMAN.H10MO.A.bed	0.047512859528	-26.0047466247	0.116393565375
HO_HES1_HUMAN.H10MO.D.bed	0.0452177754622	57.1531469212	0.116709751051
HO_PO3F1_HUMAN.H10MO.C.bed	-0.0299609958318	-24.9818839715	0.116830775138
HO_E2F7_HUMAN.H10MO.D.bed	0.091338236181	43.0822196669	0.116893544455
HO_TBX4_HUMAN.H10MO.D.bed	0.0470345391598	120.360001042	0.116922269914
HO_ZIC3_HUMAN.H10MO.C.bed	-0.0424825455196	40.576458743	0.117330344267
HO_NGN2_HUMAN.H10MO.D.bed	-0.0405860176933	-43.1120038759	0.117522931316
HO_E2F2_HUMAN.H10MO.B.bed	0.129471757086	-987.617041819	0.11758229849
HO_UBIP1_HUMAN.H10MO.D.bed	-0.0278654458493	-25.0988473722	0.117743073745
HO_AP2A_HUMAN.H10MO.C.bed	-0.0272366823536	-12.57103138	0.118260985471
HO_NANOG_HUMAN.H10MO.S.bed	-0.0229733882928	-43.4121645017	0.118533111785
HO_HXA10_HUMAN.H10MO.C.bed	0.0314446608616	-60.0446429804	0.118658754648
HO_EVX1_HUMAN.H10MO.D.bed	0.0204234651551	317726.84704	0.118776281436
HO_BRAC_HUMAN.H10MO.D.bed	-0.109317932331	-12.4353491659	0.119292500789
HO_BMAL1_HUMAN.H10MO.C.bed	0.0643127829069	443.114340183	0.119334511814
HO_ZN784_HUMAN.H10MO.D.bed	-0.0454099550426	-166.360090799	0.119517951982
HO_GFI1B_HUMAN.H10MO.C.bed	-0.0330296792847	-39.6394530548	0.119913004174
HO_MSX2_HUMAN.H10MO.D.bed	-0.01558799478	-541.951420555	0.120793150745
HO_ZEP2_HUMAN.H10MO.D.bed	0.0457281584978	49.4397984492	0.120892392917
HO_SPZ1_HUMAN.H10MO.D.bed	0.0648428517093	25.7722831543	0.12121068363
HO_MLX_HUMAN.H10MO.D.bed	0.0595786907725	155.96190345	0.121240063378
HO_VDR_HUMAN.H10MO.S.bed	-0.0235981418724	-33.1761379915	0.121579202791
HO_SOX5_HUMAN.H10MO.C.bed	-0.016188976622	46.3517888768	0.12219701159
HO_GBX2_HUMAN.H10MO.D.bed	0.0248460066382	-502.154185012	0.122871876414
HO_NR4A3_HUMAN.H10MO.D.bed	0.0358437755724	-25.2411042086	0.122994716409
HO_ARI3A_HUMAN.H10MO.D.bed	-0.0156287813221	-3188.10838461	0.123848012721
HO_YBOX1_HUMAN.H10MO.D.bed	0.034170940614	-187.168470086	0.123856693027
HO_PBX1_HUMAN.H10MO.B.bed	0.0393510613521	74.3778227512	0.124541895689
HO_CLOCK_HUMAN.H10MO.D.bed	0.0197687676621	-227.884258826	0.124768913025
HO_PLAG1_HUMAN.H10MO.D.bed	0.0247014841967	-39.543847338	0.124847922493
HO_NR2E1_HUMAN.H10MO.D.bed	-0.0529001518297	-89.3619708762	0.124998678066
HO_MYOD1_HUMAN.H10MO.C.bed	0.024626216186	173.439359289	0.125024427557
HO_BHE23_HUMAN.H10MO.D.bed	-0.0357632991564	100.589072887	0.125171850182
HO_GFI1_HUMAN.H10MO.C.bed	-0.0290210017859	47.0649512977	0.125308519029
HO_GBX1_HUMAN.H10MO.D.bed	0.0203819700309	-77.2351200961	0.125435928015
HO_FOXP2_HUMAN.H10MO.A.bed	0.019663728834	-17.2368244648	0.126038927716
HO_SPIC_HUMAN.H10MO.D.bed	0.0154191035648	-171.650997132	0.12741038074
HO_PPARA_HUMAN.H10MO.S.bed	0.0143656855721	-40.4787395463	0.127593962966
